Universe,Universe_Group,Opportunity_Type,Opportunity_Eligible,Symbol,Raw_Symbol,Name,Category,ISIN,Include,Source
ETF,ETF,Equity ETF,Yes,CHEMICAL.NS,CHEMICAL,KOTAKMAMC - CHEMICAL,Broad Market ETF,INF174KA1XV0,Yes,NSE ETF
ETF,ETF,Commodity ETF,Yes,CHOICEGOLD.NS,CHOICEGOLD,ChoiceAMC - CHOICEGOLD,Gold ETF,INF2KCX01012,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,COMMOIETF.NS,COMMOIETF,ICICIPRAMC-ICICICOMMO,IT ETF,INF109KC19O8,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,CONS.NS,CONS,KOTAKMAMC-KOTAKCONS,Consumption/FMCG ETF,INF174KA1ZF8,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,CONSUMAXIS.NS,CONSUMAXIS,AXISAMC-CONSUMAXIS,Consumption/FMCG ETF,INF846K016C7,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,CONSUMBEES.NS,CONSUMBEES,NIPINDETFCONSUMPTION,Consumption/FMCG ETF,INF204KA1LD7,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,CONSUMER.NS,CONSUMER,MIRAEAMC - CONSUMER,Consumption/FMCG ETF,INF769K01NS5,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,CONSUMIETF.NS,CONSUMIETF,ICICIPRAMC-ICICICONSU,Consumption/FMCG ETF,INF109KC1V42,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,CPSEETF.NS,CPSEETF,CPSEETF,PSU/CPSE ETF,INF457M01133,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,DEFENCE.NS,DEFENCE,MIRAEAMC - DEFENCE,ETF,INF769K01QC2,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,DIVIDEND.NS,DIVIDEND,MIRAEAMC - DIVIDEND,ETF,INF769K01PY8,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,DIVOPPBEES.NS,DIVOPPBEES,NIPINDETFDIVOPP,Broad Market ETF,INF204KA1MS3,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,EBANKNIFTY.NS,EBANKNIFTY,EDELAMC - EBANKNIFTY,Bank/Financial ETF,INF754K01TE4,Yes,NSE ETF
ETF,ETF,Parking/Debt ETF,No,EBBETF0430.NS,EBBETF0430,EDELAMC-EBBETF0430,Parking/Debt ETF,INF754K01KO2,Yes,NSE ETF
ETF,ETF,Parking/Debt ETF,No,EBBETF0431.NS,EBBETF0431,EDELAMC-EBBETF0431,Parking/Debt ETF,INF754K01LE1,Yes,NSE ETF
ETF,ETF,Parking/Debt ETF,No,EBBETF0433.NS,EBBETF0433,EDELAMC-EBBETF0433,Parking/Debt ETF,INF754K01QX0,Yes,NSE ETF
ETF,ETF,Equity ETF,Yes,ECAPINSURE.NS,ECAPINSURE,EDELAMC - ECAPINSURE,IT ETF,INF754K01TX4,Yes,NSE ETF
ETF,ETF,Commodity ETF,Yes,EGOLD.NS,EGOLD,EDELAMC-EGOLD,Gold ETF,INF754K01SE6,Yes,NSE ETF
