Symbol,Raw_Symbol,Name,Category,ISIN,ETF_Name,ETF_Category,ETF_ISIN,Suggested_AMFI_Scheme_Code,Suggested_AMFI_Scheme_Name,Suggested_NAV,Suggested_NAV_Date,Match_Score,Match_Type,Mapping_Status,Manual_AMFI_Scheme_Code,Manual_AMFI_Scheme_Name,Manual_NAV,Manual_NAV_Date,AUM_Cr,TER,Tracking_Error,Tracking_Difference,Benchmark_Index,Quality_Override_Notes
CHOICEGOLD.NS,CHOICEGOLD,ChoiceAMC - CHOICEGOLD,Gold ETF,INF2KCX01012,ChoiceAMC - CHOICEGOLD,Gold ETF,INF2KCX01012,153933,Choice Gold ETF,144.2197,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
COMMOIETF.NS,COMMOIETF,ICICIPRAMC-ICICICOMMO,IT ETF,INF109KC19O8,ICICIPRAMC-ICICICOMMO,IT ETF,INF109KC19O8,151207,ICICI Prudential Nifty Commodities ETF,100.6019,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
CONS.NS,CONS,KOTAKMAMC-KOTAKCONS,Consumption/FMCG ETF,INF174KA1ZF8,KOTAKMAMC-KOTAKCONS,Consumption/FMCG ETF,INF174KA1ZF8,150492,Kotak Nifty India Consumption ETF,12.1131,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
CONSUMAXIS.NS,CONSUMAXIS,AXISAMC-CONSUMAXIS,Consumption/FMCG ETF,INF846K016C7,AXISAMC-CONSUMAXIS,Consumption/FMCG ETF,INF846K016C7,149156,Axis NIFTY India Consumption ETF,121.2877,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
CONSUMBEES.NS,CONSUMBEES,NIPINDETFCONSUMPTION,Consumption/FMCG ETF,INF204KA1LD7,NIPINDETFCONSUMPTION,Consumption/FMCG ETF,INF204KA1LD7,128331,Nippon India ETF Nifty India Consumption,131.227,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
CONSUMER.NS,CONSUMER,MIRAEAMC - CONSUMER,Consumption/FMCG ETF,INF769K01NS5,MIRAEAMC - CONSUMER,Consumption/FMCG ETF,INF769K01NS5,153191,Mirae Asset Nifty India New Age Consumption ETF,11.6897,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
CONSUMIETF.NS,CONSUMIETF,ICICIPRAMC-ICICICONSU,Consumption/FMCG ETF,INF109KC1V42,ICICIPRAMC-ICICICONSU,Consumption/FMCG ETF,INF109KC1V42,149285,ICICI Prudential Nifty India Consumption ETF,122.0654,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
CPSEETF.NS,CPSEETF,CPSEETF,PSU/CPSE ETF,INF457M01133,CPSEETF,PSU/CPSE ETF,INF457M01133,140107,CPSE ETF,97.5631,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
DEFENCE.NS,DEFENCE,MIRAEAMC - DEFENCE,ETF,INF769K01QC2,MIRAEAMC - DEFENCE,ETF,INF769K01QC2,154182,Mirae Asset BSE India Defence ETF,80.0302,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
DIVIDEND.NS,DIVIDEND,MIRAEAMC - DIVIDEND,ETF,INF769K01PY8,MIRAEAMC - DIVIDEND,ETF,INF769K01PY8,154061,Mirae Asset BSE 500 Dividend Leaders 50 ETF,35.0516,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
DIVOPPBEES.NS,DIVOPPBEES,NIPINDETFDIVOPP,Broad Market ETF,INF204KA1MS3,NIPINDETFDIVOPP,Broad Market ETF,INF204KA1MS3,128639,Nippon India ETF Nifty Dividend Opportunities 50,76.5909,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
EBANKNIFTY.NS,EBANKNIFTY,EDELAMC - EBANKNIFTY,Bank/Financial ETF,INF754K01TE4,EDELAMC - EBANKNIFTY,Bank/Financial ETF,INF754K01TE4,152857,Edelweiss Nifty Bank ETF - Growth,58.416,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
EBBETF0430.NS,EBBETF0430,EDELAMC-EBBETF0430,Parking/Debt ETF,INF754K01KO2,EDELAMC-EBBETF0430,Parking/Debt ETF,INF754K01KO2,147849,Bharat Bond ETF - April 2030,1610.615,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
EBBETF0431.NS,EBBETF0431,EDELAMC-EBBETF0431,Parking/Debt ETF,INF754K01LE1,EDELAMC-EBBETF0431,Parking/Debt ETF,INF754K01LE1,148445,BHARAT Bond ETF- April 2031,1442.2134,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
EBBETF0433.NS,EBBETF0433,EDELAMC-EBBETF0433,Parking/Debt ETF,INF754K01QX0,EDELAMC-EBBETF0433,Parking/Debt ETF,INF754K01QX0,150987,BHARAT Bond ETF - April 2033,1313.6892,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
ECAPINSURE.NS,ECAPINSURE,EDELAMC - ECAPINSURE,IT ETF,INF754K01TX4,EDELAMC - ECAPINSURE,IT ETF,INF754K01TX4,153180,Edelweiss BSE Capital Markets & Insurance  ETF - Growth,24.5187,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
EGOLD.NS,EGOLD,EDELAMC-EGOLD,Gold ETF,INF754K01SE6,EDELAMC-EGOLD,Gold ETF,INF754K01SE6,152193,Edelweiss Gold ETF,145.161,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
ELIQUID.NS,ELIQUID,EDELAMC - ELIQUID,Parking/Debt ETF,INF754K01VW2,EDELAMC - ELIQUID,Parking/Debt ETF,INF754K01VW2,153920,Edelweiss Nifty 1D Rate Liquid ETF - Growth,1037.6432,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
ELM250.NS,ELM250,EDELAMC - ELM250,Broad Market ETF,INF754K01VV4,EDELAMC - ELM250,Broad Market ETF,INF754K01VV4,153841,Edelweiss Nifty LargeMidcap 250 ETF - Growth,16.5731,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
EMULTIMQ.NS,EMULTIMQ,EDELAMC - EMULTIMQ,IT ETF,INF754K01TF1,EDELAMC - EMULTIMQ,IT ETF,INF754K01TF1,152981,Edelweiss Nifty500 Multicap Momentum Quality 50 ETF - Growth,41.4348,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
ENERGY.NS,ENERGY,MIRAEAMC - ENERGY,Broad Market ETF,INF769K01PR2,MIRAEAMC - ENERGY,Broad Market ETF,INF769K01PR2,153945,Mirae Asset Nifty Energy ETF,39.3334,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
ENEXT50.NS,ENEXT50,EDELAMC - ENEXT50,Broad Market ETF,INF754K01XF3,EDELAMC - ENEXT50,Broad Market ETF,INF754K01XF3,154347,Edelweiss Nifty Next 50 ETF,71.8381,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
ENIFTY.NS,ENIFTY,EDELAMC - ENIFTY,Broad Market ETF,INF754K01VX0,EDELAMC - ENIFTY,Broad Market ETF,INF754K01VX0,153966,Edelweiss Nifty 50 ETF - Growth,24.4064,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
EQUAL200.NS,EQUAL200,MIRAEAMC - EQUAL200,ETF,INF769K01OA1,MIRAEAMC - EQUAL200,ETF,INF769K01OA1,153379,Mirae Asset BSE 200 Equal Weight ETF,13.703,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
EQUAL50.NS,EQUAL50,MIRAEAMC - EQUAL50,Broad Market ETF,INF769K01OO2,MIRAEAMC - EQUAL50,Broad Market ETF,INF769K01OO2,153519,Mirae Asset Nifty 50 Equal Weight ETF,332.7684,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
EQUAL50ADD.NS,EQUAL50ADD,DSPAMC-DSPNEWETF,Broad Market ETF,INF740KA1QK2,DSPAMC-DSPNEWETF,Broad Market ETF,INF740KA1QK2,149286,DSP Nifty 50 Equal Weight ETF,343.8934,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
ESENSEX.NS,ESENSEX,EDELAMC - ESENSEX,Broad Market ETF,INF754K01VY8,EDELAMC - ESENSEX,Broad Market ETF,INF754K01VY8,153947,Edelweiss BSE Sensex ETF - Growth,78.1693,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
ESG.NS,ESG,MIRAEAMC-MAESGETF,Parking/Debt ETF,INF769K01GS9,MIRAEAMC-MAESGETF,Parking/Debt ETF,INF769K01GS9,148572,Mirae Asset Nifty 100 ESG Sector Leaders ETF,41.689,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
ESILVER.NS,ESILVER,EDELAMC-Esilver,Silver ETF,INF754K01SF3,EDELAMC-Esilver,Silver ETF,INF754K01SF3,152212,Edelweiss Silver ETF,231.3908,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
EVIETF.NS,EVIETF,ICICIPRAMC - EVIETF,Auto ETF,INF109K1A153,ICICIPRAMC - EVIETF,Auto ETF,INF109K1A153,153397,ICICI Prudential Nifty EV & New Age Automotive ETF,31.4152,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
EVINDIA.NS,EVINDIA,MIRAEAMC - EVINDIA,Auto ETF,INF769K01LQ3,MIRAEAMC - EVINDIA,Auto ETF,INF769K01LQ3,152715,Mirae Asset Nifty EV and New Age Automotive ETF,31.4569,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
FINIETF.NS,FINIETF,ICICIPRAMC-ICICIFIN,Bank/Financial ETF,INF109KC17L8,ICICIPRAMC-ICICIFIN,Bank/Financial ETF,INF109KC17L8,150879,ICICI Prudential Nifty Financial Services Ex-BaNk ETF,32.9363,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
FLEXIADD.NS,FLEXIADD,DSPAMC - FLEXIADD,IT ETF,INF740KA1WU9,DSPAMC - FLEXIADD,IT ETF,INF740KA1WU9,153874,DSP Nifty500 Flexicap Quality 30 ETF,9.7857,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
FMCGADD.NS,FMCGADD,DSPAMC - FMCGADD,Consumption/FMCG ETF,INF740KA1ZA4,DSPAMC - FMCGADD,Consumption/FMCG ETF,INF740KA1ZA4,154357,DSP Nifty FMCG ETF,50.1801,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
FMCGIETF.NS,FMCGIETF,ICICIPRAMC-ICICIFMCG,Consumption/FMCG ETF,INF109KC19V3,ICICIPRAMC-ICICIFMCG,Consumption/FMCG ETF,INF109KC19V3,149072,ICICI Prudential Nifty FMCG ETF,53.715,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GILT10BETA.NS,GILT10BETA,UTIAMC-GILT10BETA,Parking/Debt ETF,INF789F1AZF3,UTIAMC-GILT10BETA,Parking/Debt ETF,INF789F1AZF3,152369,UTI Nifty 10 yr Benchmark G-Sec ETF,26.6637,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GILT5BETA.NS,GILT5BETA,UTIAMC-GILT5BETA,Parking/Debt ETF,INF789F1AZE6,UTIAMC-GILT5BETA,Parking/Debt ETF,INF789F1AZE6,152368,UTI Nifty 5 yr Benchmark G-Sec ETF,66.0421,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GILT5YBEES.NS,GILT5YBEES,RELCAPAMC-NETFGILT5Y,Parking/Debt ETF,INF204KC1030,RELCAPAMC-NETFGILT5Y,Parking/Debt ETF,INF204KC1030,148800,Nippon India ETF Nifty 5 yr Benchmark G-Sec,65.8428,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GOLD1.NS,GOLD1,KotakMutualFund-Gold,Gold ETF,INF174KA1HJ8,KotakMutualFund-Gold,Gold ETF,INF174KA1HJ8,106193,KOTAK GOLD ETF,121.2227,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GOLD360.NS,GOLD360,360ONEAMC - GOLD360,Gold ETF,INF579M01BB5,360ONEAMC - GOLD360,Gold ETF,INF579M01BB5,153357,360 ONE Gold ETF,141.8133,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GOLDADD.NS,GOLDADD,DSPAMC - DSPGOLD,Gold ETF,INF740KA1SW3,DSPAMC - DSPGOLD,Gold ETF,INF740KA1SW3,151737,DSP Gold ETF,141.1065,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GOLDAXIS.NS,GOLDAXIS,AXISAMC-GOLDAXIS,Gold ETF,INF846K01W80,AXISAMC-GOLDAXIS,Gold ETF,INF846K01W80,113434,Axis Gold ETF,121.0493,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GOLDBEES.NS,GOLDBEES,NIPINDETFGOLDBEES,Gold ETF,INF204KB17I5,NIPINDETFGOLDBEES,Gold ETF,INF204KB17I5,140088,Nippon India ETF Gold BeES,120.1367,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GOLDBETA.NS,GOLDBETA,UTIAMC -UTIGOLDBETA,Gold ETF,INF789F1AUX7,UTIAMC -UTIGOLDBETA,Gold ETF,INF789F1AUX7,105463,UTI GOLD Exchange Traded Fund,122.2337,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GOLDBND.NS,GOLDBND,BANDHANAMC - GOLDBND,Gold ETF,INF194KB1KJ7,BANDHANAMC - GOLDBND,Gold ETF,INF194KB1KJ7,153930,Bandhan Gold ETF,145.131,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GOLDCASE.NS,GOLDCASE,ZERODHAAMC-GOLDCASE,Gold ETF,INF0R8F01042,ZERODHAAMC-GOLDCASE,Gold ETF,INF0R8F01042,152476,Zerodha Gold ETF,22.859,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GOLDETF.NS,GOLDETF,MIRAEAMC-MAGOLDETF,Gold ETF,INF769K01JP9,MIRAEAMC-MAGOLDETF,Gold ETF,INF769K01JP9,151416,Mirae Asset Gold ETF,141.2043,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GOLDIETF.NS,GOLDIETF,ICICIPrudGoldETF,Gold ETF,INF109KC1NT3,ICICIPrudGoldETF,Gold ETF,INF109KC1NT3,113076,ICICI Prudential Gold ETF,124.3907,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GROWWCAPM.NS,GROWWCAPM,GROWWAMC - GROWWCAPM,IT ETF,INF666M01MM4,GROWWAMC - GROWWCAPM,IT ETF,INF666M01MM4,153907,Groww Nifty Capital Markets ETF,11.678,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GROWWCHEM.NS,GROWWCHEM,GROWWAMC - GROWWCHEM,Broad Market ETF,INF666M01NP5,GROWWAMC - GROWWCHEM,Broad Market ETF,INF666M01NP5,154111,Groww Nifty Chemicals ETF,29.9985,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GROWWDEFNC.NS,GROWWDEFNC,GROWWAMC - GROWWDEFNC,Broad Market ETF,INF666M01IO8,GROWWAMC - GROWWDEFNC,Broad Market ETF,INF666M01IO8,152845,Groww Nifty India Defence ETF,95.6212,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GROWWEV.NS,GROWWEV,GROWWAMC - GROWWEV,Auto ETF,INF666M01IH2,GROWWAMC - GROWWEV,Auto ETF,INF666M01IH2,152764,GROWW NIFTY EV & NEW AGE AUTOMOTIVE ETF,31.3472,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GROWWGOLD.NS,GROWWGOLD,GROWWAMC - GROWWGOLD,Gold ETF,INF666M01OE7,GROWWAMC - GROWWGOLD,Gold ETF,INF666M01OE7,152957,Groww Gold ETF,14.1991,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GROWWHOSPI.NS,GROWWHOSPI,GROWWAMC - GROWWHOSPI,IT ETF,INF666M01OD9,GROWWAMC - GROWWHOSPI,IT ETF,INF666M01OD9,154199,Groww BSE Hospitals ETF,54.7054,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GROWWLIQID.NS,GROWWLIQID,GROWWAMC - GROWWLIQID,Parking/Debt ETF,INF666M01IP5,GROWWAMC - GROWWLIQID,Parking/Debt ETF,INF666M01IP5,152891,Groww Nifty 1D Rate Liquid ETF,109.74,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GROWWLOVOL.NS,GROWWLOVOL,GROWWAMC - GROWWLOVOL,IT ETF,INF666M01LB9,GROWWAMC - GROWWLOVOL,IT ETF,INF666M01LB9,153583,Groww Nifty 500 Low Volatility 50 ETF,10.3396,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GROWWMC150.NS,GROWWMC150,GROWWAMC - GROWWMC150,Broad Market ETF,INF666M01MV5,GROWWAMC - GROWWMC150,Broad Market ETF,INF666M01MV5,153940,Groww Nifty Midcap 150 ETF,229.2175,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GROWWMETAL.NS,GROWWMETAL,GROWWAMC - GROWWMETAL,Broad Market ETF,INF666M01NI0,GROWWAMC - GROWWMETAL,Broad Market ETF,INF666M01NI0,154034,Groww Nifty Metal ETF,11.9948,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GROWWMOM50.NS,GROWWMOM50,GROWWAMC - GROWWMOM50,Factor ETF,INF666M01KJ4,GROWWAMC - GROWWMOM50,Factor ETF,INF666M01KJ4,153452,Groww Nifty 500 Momentum 50 ETF,10.5827,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GROWWN200.NS,GROWWN200,GROWWAMC - GROWWN200,Broad Market ETF,INF666M01JV1,GROWWAMC - GROWWN200,Broad Market ETF,INF666M01JV1,153329,Groww Nifty 200 ETF,11.3493,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GROWWNET.NS,GROWWNET,GROWWAMC - GROWWNET,ETF,INF666M01LI4,GROWWAMC - GROWWNET,ETF,INF666M01LI4,153625,Groww Nifty India Internet ETF,9.6154,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GROWWNIFTY.NS,GROWWNIFTY,GROWWAMC - GROWWNIFTY,Broad Market ETF,INF666M01LL8,GROWWAMC - GROWWNIFTY,Broad Market ETF,INF666M01LL8,153699,Groww Nifty 50 ETF,9.7931,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GROWWNXT50.NS,GROWWNXT50,GROWWAMC - GROWWNXT50,ETF,INF666M01LZ8,GROWWAMC - GROWWNXT50,ETF,INF666M01LZ8,153785,Groww Nifty Next 50 ETF,72.4482,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GROWWPOWER.NS,GROWWPOWER,GROWWAMC - GROWWPOWER,ETF,INF666M01LM6,GROWWAMC - GROWWPOWER,ETF,INF666M01LM6,153744,Groww BSE Power ETF,11.8013,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GROWWPSE.NS,GROWWPSE,GROWWAMC - GROWWPSE,Broad Market ETF,INF666M01NQ3,GROWWAMC - GROWWPSE,Broad Market ETF,INF666M01NQ3,154163,Groww Nifty PSE ETF,100.3445,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GROWWPSUBK.NS,GROWWPSUBK,GROWWAMC - GROWWPSUBK,Bank/Financial ETF,INF666M01OG2,GROWWAMC - GROWWPSUBK,Bank/Financial ETF,INF666M01OG2,154277,Groww Nifty PSU Bank ETF,84.4023,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GROWWRAIL.NS,GROWWRAIL,GROWWAMC - GROWWRAIL,PSU/CPSE ETF,INF666M01JJ6,GROWWAMC - GROWWRAIL,PSU/CPSE ETF,INF666M01JJ6,153229,Groww Nifty India Railways PSU ETF,29.3758,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GROWWRLTY.NS,GROWWRLTY,GROWWAMC - GROWWRLTY,ETF,INF666M01MN2,GROWWAMC - GROWWRLTY,ETF,INF666M01MN2,153899,Groww Nifty Realty ETF,9.9586,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GROWWSC250.NS,GROWWSC250,GROWWAMC - GROWWSC250,Broad Market ETF,INF666M01MO0,GROWWAMC - GROWWSC250,Broad Market ETF,INF666M01MO0,153923,Groww Nifty Smallcap250 ETF,10.375,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GROWWSLVR.NS,GROWWSLVR,GROWWAMC - GROWWSLVR,Silver ETF,INF666M01OF4,GROWWAMC - GROWWSLVR,Silver ETF,INF666M01OF4,153524,Groww Silver ETF,22.7171,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GSEC10ABSL.NS,GSEC10ABSL,BIRLASLAMC - GSEC10ABSL,Parking/Debt ETF,INF209KC1142,BIRLASLAMC - GSEC10ABSL,Parking/Debt ETF,INF209KC1142,152802,Aditya Birla Sun Life Crisil 10 Year Gilt ETF,112.8217,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GSEC10IETF.NS,GSEC10IETF,ICICIPRAMC-ICICI10GS,Parking/Debt ETF,INF109KC18O0,ICICIPRAMC-ICICI10GS,Parking/Debt ETF,INF109KC18O0,151196,ICICI Prudential Nifty 10 yr Benchmark G-sec ETF,264.8384,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GSEC10YEAR.NS,GSEC10YEAR,MIRAEAMC-MAGS813ETF,Parking/Debt ETF,INF769K01KF8,MIRAEAMC-MAGS813ETF,Parking/Debt ETF,INF769K01KF8,151695,Mirae Asset Nifty 8-13 yr Gsec ETF,30.4211,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
GSEC5IETF.NS,GSEC5IETF,ICICIPRAMC-ICICI5GSEC,Parking/Debt ETF,INF109KC14A8,ICICIPRAMC-ICICI5GSEC,Parking/Debt ETF,INF109KC14A8,149928,ICICI Prudential Nifty 5 yr Benchmark G-SEC ETF,65.9792,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
HDFCBSE500.NS,HDFCBSE500,HDFCAMC-HDFCBSE500,International ETF,INF179KC1EZ4,HDFCAMC-HDFCBSE500,International ETF,INF179KC1EZ4,151376,HDFC BSE 500 ETF - Growth Option,37.3669,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
HDFCGOLD.NS,HDFCGOLD,HDFCGoldETF,Gold ETF,INF179KC1981,HDFCGoldETF,Gold ETF,INF179KC1981,113049,HDFC Gold ETF - Growth Option,124.0954,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
HDFCGROWTH.NS,HDFCGROWTH,HDFCAMC-HDFCGROWTH,Parking/Debt ETF,INF179KC1DJ0,HDFCAMC-HDFCGROWTH,Parking/Debt ETF,INF179KC1DJ0,150621,HDFC NIFTY GROWTH SECTORS 15 ETF - Growth Option,113.8076,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
HDFCLIQUID.NS,HDFCLIQUID,HDFCAMC-HDFCLIQUID,Parking/Debt ETF,INF179KC1JG3,HDFCAMC-HDFCLIQUID,Parking/Debt ETF,INF179KC1JG3,153403,HDFC NIFTY 1D RATE LIQUID ETF GROWTH,1067.6036,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
HDFCLOWVOL.NS,HDFCLOWVOL,HDFCAMC-HDFCLOWVOL,IT ETF,INF179KC1HU8,HDFCAMC-HDFCLOWVOL,IT ETF,INF179KC1HU8,150658,HDFC NIFTY100 Low Volatility 30 ETF - Growth Option,20.6462,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
HDFCMID150.NS,HDFCMID150,HDFCAMC-HDFCMID150,Broad Market ETF,INF179KC1HT0,HDFCAMC-HDFCMID150,Broad Market ETF,INF179KC1HT0,151374,HDFC NIFTY Midcap 150 ETF - Growth Option,23.1514,03-Jul-2026,1.0,ISIN,Verified,,,,,,,,,,
