Symbol,Raw_Symbol,Name,Universe_Group,Opportunity_Type,ISIN,AMFI_Scheme_Code,AMFI_Scheme_Name,Manual_NAV,Manual_NAV_Date,NAV_Source,NAV_Match_Method,NAV_Match_Score,AUM_Cr,TER,Tracking_Error,Tracking_Difference,Benchmark_Index,AUM_Source,TER_Source,Tracking_Error_Source,Tracking_Difference_Source,Benchmark_Source,Metadata_Confidence,Metadata_Flags,Last_Updated
CONSUMAXIS.NS,CONSUMAXIS,AXISAMC-CONSUMAXIS,ETF,Equity ETF,INF846K016C7,149156,Axis NIFTY India Consumption ETF,121.2877,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,1314.92,0.0036,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
CONSUMBEES.NS,CONSUMBEES,NIPINDETFCONSUMPTION,ETF,Equity ETF,INF204KA1LD7,128331,Nippon India ETF Nifty India Consumption,131.227,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,19489.72,0.0036,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
CONSUMER.NS,CONSUMER,MIRAEAMC - CONSUMER,ETF,Equity ETF,INF769K01NS5,153191,Mirae Asset Nifty India New Age Consumption ETF,11.6897,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,4322.06,0.0025,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
CONSUMIETF.NS,CONSUMIETF,ICICIPRAMC-ICICICONSU,ETF,Equity ETF,INF109KC1V42,149285,ICICI Prudential Nifty India Consumption ETF,122.0654,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,5440.43,0.0036,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
CPSEETF.NS,CPSEETF,CPSEETF,ETF,Equity ETF,INF457M01133,140107,CPSE ETF,97.5631,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,0.26,,,0.0097,Nifty CPSE TRI,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.8,TER missing,2026-07-04 05:36:40
DEFENCE.NS,DEFENCE,MIRAEAMC - DEFENCE,ETF,Equity ETF,INF769K01QC2,154182,Mirae Asset BSE India Defence ETF,80.0302,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,1817.29,0.0151,,,Equity Scheme - Sectoral/ Thematic,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
DIVIDEND.NS,DIVIDEND,MIRAEAMC - DIVIDEND,ETF,Equity ETF,INF769K01PY8,154061,Mirae Asset BSE 500 Dividend Leaders 50 ETF,35.0516,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,808.87,0.0017,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
DIVOPPBEES.NS,DIVOPPBEES,NIPINDETFDIVOPP,ETF,Equity ETF,INF204KA1MS3,128639,Nippon India ETF Nifty Dividend Opportunities 50,76.5909,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,7042.86,,,-0.0027,Nifty Dividend Opportunities 50 TRI,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.8,TER missing,2026-07-04 05:36:40
EBANKNIFTY.NS,EBANKNIFTY,EDELAMC - EBANKNIFTY,ETF,Equity ETF,INF754K01TE4,152857,Edelweiss Nifty Bank ETF - Growth,58.416,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,1288.38,0.0012,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
EBBETF0430.NS,EBBETF0430,EDELAMC-EBBETF0430,ETF,Parking/Debt ETF,INF754K01KO2,147849,Bharat Bond ETF - April 2030,1610.615,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,0.25,,,-0.0006,NIFTY BHARAT Bond Index - April 2030,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.8,TER missing,2026-07-04 05:36:40
EBBETF0431.NS,EBBETF0431,EDELAMC-EBBETF0431,ETF,Parking/Debt ETF,INF754K01LE1,148445,BHARAT Bond ETF- April 2031,1442.2134,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,0.13,,,-0.03,NIFTY BHARAT Bond Index - April 2031,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.8,TER missing,2026-07-04 05:36:40
EBBETF0433.NS,EBBETF0433,EDELAMC-EBBETF0433,ETF,Parking/Debt ETF,INF754K01QX0,150987,BHARAT Bond ETF - April 2033,1313.6892,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,0.25,,,0.0057,NIFTY BHARAT Bond Index - April 2033,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.8,TER missing,2026-07-04 05:36:40
ECAPINSURE.NS,ECAPINSURE,EDELAMC - ECAPINSURE,ETF,Equity ETF,INF754K01TX4,153180,Edelweiss BSE Capital Markets & Insurance  ETF - Growth,24.5187,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,1583.06,0.0023,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
EGOLD.NS,EGOLD,EDELAMC-EGOLD,ETF,Commodity ETF,INF754K01SE6,152193,Edelweiss Gold ETF,145.161,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,10959.26,0.0037,,,Other Scheme - Gold ETF,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
ELIQUID.NS,ELIQUID,EDELAMC - ELIQUID,ETF,Parking/Debt ETF,INF754K01VW2,153920,Edelweiss Nifty 1D Rate Liquid ETF - Growth,1037.6432,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,6732.96,0.0017,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
ELM250.NS,ELM250,EDELAMC - ELM250,ETF,Equity ETF,INF754K01VV4,153841,Edelweiss Nifty LargeMidcap 250 ETF - Growth,16.5731,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,11553.22,0.009,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
EMULTIMQ.NS,EMULTIMQ,EDELAMC - EMULTIMQ,ETF,Equity ETF,INF754K01TF1,152981,Edelweiss Nifty500 Multicap Momentum Quality 50 ETF - Growth,41.4348,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,3127.68,0.003,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
ENERGY.NS,ENERGY,MIRAEAMC - ENERGY,ETF,Equity ETF,INF769K01PR2,153945,Mirae Asset Nifty Energy ETF,39.3334,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,17303.94,0.0018,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
ENEXT50.NS,ENEXT50,EDELAMC - ENEXT50,ETF,Equity ETF,INF754K01XF3,154347,Edelweiss Nifty Next 50 ETF,71.8381,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,13992.1,0.0008,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
ENIFTY.NS,ENIFTY,EDELAMC - ENIFTY,ETF,Equity ETF,INF754K01VX0,153966,Edelweiss Nifty 50 ETF - Growth,24.4064,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,1636.43,0.04,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
EQUAL200.NS,EQUAL200,MIRAEAMC - EQUAL200,ETF,Equity ETF,INF769K01OA1,153379,Mirae Asset BSE 200 Equal Weight ETF,13.703,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,1661.08,0.0028,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
EQUAL50.NS,EQUAL50,MIRAEAMC - EQUAL50,ETF,Equity ETF,INF769K01OO2,153519,Mirae Asset Nifty 50 Equal Weight ETF,332.7684,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,12203.59,0.0081,,,Other Scheme - Index Funds,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
EQUAL50ADD.NS,EQUAL50ADD,DSPAMC-DSPNEWETF,ETF,Equity ETF,INF740KA1QK2,149286,DSP Nifty 50 Equal Weight ETF,343.8934,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,17218.13,0.0081,,,Other Scheme - Index Funds,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
ESENSEX.NS,ESENSEX,EDELAMC - ESENSEX,ETF,Equity ETF,INF754K01VY8,153947,Edelweiss BSE Sensex ETF - Growth,78.1693,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,1514.9,0.04,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
ESG.NS,ESG,MIRAEAMC-MAESGETF,ETF,Parking/Debt ETF,INF769K01GS9,148572,Mirae Asset Nifty 100 ESG Sector Leaders ETF,41.689,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,10760.79,0.0035,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
ESILVER.NS,ESILVER,EDELAMC-Esilver,ETF,Commodity ETF,INF754K01SF3,152212,Edelweiss Silver ETF,231.3908,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,19055.61,0.003,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
EVIETF.NS,EVIETF,ICICIPRAMC - EVIETF,ETF,Equity ETF,INF109K1A153,153397,ICICI Prudential Nifty EV & New Age Automotive ETF,31.4152,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,4503.95,0.0038,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
EVINDIA.NS,EVINDIA,MIRAEAMC - EVINDIA,ETF,Equity ETF,INF769K01LQ3,152715,Mirae Asset Nifty EV and New Age Automotive ETF,31.4569,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,15513.73,0.0038,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
FINIETF.NS,FINIETF,ICICIPRAMC-ICICIFIN,ETF,Equity ETF,INF109KC17L8,150879,ICICI Prudential Nifty Financial Services Ex-BaNk ETF,32.9363,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,25946.52,0.0017,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:41
FLEXIADD.NS,FLEXIADD,DSPAMC - FLEXIADD,ETF,Equity ETF,INF740KA1WU9,153874,DSP Nifty500 Flexicap Quality 30 ETF,9.7857,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,1158.11,0.0084,,,Other Scheme - Index Funds,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:41
FMCGADD.NS,FMCGADD,DSPAMC - FMCGADD,ETF,Equity ETF,INF740KA1ZA4,154357,DSP Nifty FMCG ETF,50.1801,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,76416.5,0.0017,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:41
FMCGIETF.NS,FMCGIETF,ICICIPRAMC-ICICIFMCG,ETF,Equity ETF,INF109KC19V3,149072,ICICI Prudential Nifty FMCG ETF,53.715,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,76416.5,0.0017,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:41
GILT10BETA.NS,GILT10BETA,UTIAMC-GILT10BETA,ETF,Parking/Debt ETF,INF789F1AZF3,152369,UTI Nifty 10 yr Benchmark G-Sec ETF,26.6637,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,115.57,0.0012,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:41
GILT5BETA.NS,GILT5BETA,UTIAMC-GILT5BETA,ETF,Parking/Debt ETF,INF789F1AZE6,152368,UTI Nifty 5 yr Benchmark G-Sec ETF,66.0421,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,244.63,0.0017,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:41
GILT5YBEES.NS,GILT5YBEES,RELCAPAMC-NETFGILT5Y,ETF,Parking/Debt ETF,INF204KC1030,148800,Nippon India ETF Nifty 5 yr Benchmark G-Sec,65.8428,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,24750.1,0.0017,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:41
GOLD1.NS,GOLD1,KotakMutualFund-Gold,ETF,Commodity ETF,INF174KA1HJ8,106193,KOTAK GOLD ETF,121.2227,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,0.15,0.0037,,,Other Scheme - Gold ETF,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:41
GOLD360.NS,GOLD360,360ONEAMC - GOLD360,ETF,Commodity ETF,INF579M01BB5,153357,360 ONE Gold ETF,141.8133,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,13760.77,0.004,,,Other Scheme - Gold ETF,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:41
GOLDADD.NS,GOLDADD,DSPAMC - DSPGOLD,ETF,Commodity ETF,INF740KA1SW3,151737,DSP Gold ETF,141.1065,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,10959.26,0.0037,,,Other Scheme - Gold ETF,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:41
GOLDAXIS.NS,GOLDAXIS,AXISAMC-GOLDAXIS,ETF,Commodity ETF,INF846K01W80,113434,Axis Gold ETF,121.0493,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,10959.26,0.0037,,,Other Scheme - Gold ETF,auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:41
GOLDBEES.NS,GOLDBEES,NIPINDETFGOLDBEES,ETF,Commodity ETF,INF204KB17I5,140088,Nippon India ETF Gold BeES,120.1367,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,0.53,,,-0.0115,Domestic Price of Gold,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.8,TER missing,2026-07-04 05:36:41
GOLDBETA.NS,GOLDBETA,UTIAMC -UTIGOLDBETA,ETF,Commodity ETF,INF789F1AUX7,105463,UTI GOLD Exchange Traded Fund,122.2337,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,10959.26,0.0037,,,Other Scheme - Gold ETF,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:41
GOLDBND.NS,GOLDBND,BANDHANAMC - GOLDBND,ETF,Commodity ETF,INF194KB1KJ7,153930,Bandhan Gold ETF,145.131,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,10959.26,0.0037,,,Other Scheme - Gold ETF,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:41
GOLDCASE.NS,GOLDCASE,ZERODHAAMC-GOLDCASE,ETF,Commodity ETF,INF0R8F01042,152476,Zerodha Gold ETF,22.859,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,10959.26,0.0037,,,Other Scheme - Gold ETF,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:41
GOLDETF.NS,GOLDETF,MIRAEAMC-MAGOLDETF,ETF,Commodity ETF,INF769K01JP9,151416,Mirae Asset Gold ETF,141.2043,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,10959.26,0.0037,,,Other Scheme - Gold ETF,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:41
