Symbol,Raw_Symbol,Name,Universe_Group,Opportunity_Type,ISIN,AMFI_Scheme_Code,AMFI_Scheme_Name,Manual_NAV,Manual_NAV_Date,NAV_Source,NAV_Match_Method,NAV_Match_Score,AUM_Cr,TER,Tracking_Error,Tracking_Difference,Benchmark_Index,AUM_Source,TER_Source,Tracking_Error_Source,Tracking_Difference_Source,Benchmark_Source,Metadata_Confidence,Metadata_Flags,Last_Updated
AONEGOLD.NS,AONEGOLD,AONEAMC - AONEGOLD,ETF,Commodity ETF,INF1J2R01114,153826,ANGEL ONE GOLD ETF,13.2716,02-Jul-2026,AMFI_NAVAll,ISIN,1.0,7596.71,0.0058,,,Other Scheme - FoF Domestic,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:39
AONELIQUID.NS,AONELIQUID,AONEAMC - AONELIQUID,ETF,Parking/Debt ETF,INF1J2R01056,153451,ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH,1066.4615,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,15364.39,,,-0.0026,NIFTY 1D RATE INDEX,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.8,TER missing,2026-07-04 05:36:39
AONENIFTY.NS,AONENIFTY,AONEAMC - AONENIFTY,ETF,Equity ETF,INF1J2R01064,153531,ANGEL ONE NIFTY 50 ETF,10.0066,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,1662.05,0.0059,,,Other Scheme - Index Funds,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:39
AONESILVER.NS,AONESILVER,AONEAMC - AONESILVER,ETF,Commodity ETF,INF1J2R01171,154205,ANGEL ONE SILVER ETF,8.6697,02-Jul-2026,AMFI_NAVAll,ISIN,1.0,708.59,0.0058,,,Other Scheme - FoF Domestic,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:39
AONETMMQ50.NS,AONETMMQ50,AONEAMC - AONETMMQ50,ETF,Equity ETF,INF1J2R01148,153957,ANGEL ONE NIFTY TOTAL MARKET MOMENTUM QUALITY 50 ETF,10.0503,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,614.36,0.0088,,,Other Scheme - Index Funds,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:39
AONETOTAL.NS,AONETOTAL,AONEAMC - AONETOTAL,ETF,Equity ETF,INF1J2R01015,153332,ANGEL ONE NIFTY TOTAL MARKET ETF,11.8779,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,4236.26,0.0088,,,Other Scheme - Index Funds,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:39
AUTOBEES.NS,AUTOBEES,NIPPONAMC-NETFAUTO,ETF,Equity ETF,INF204KC1337,149465,Nippon India Nifty Auto ETF,278.6115,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,40436.55,0.0017,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
AUTOIETF.NS,AUTOIETF,ICICIPRAMC-ICICIAUTO,ETF,Equity ETF,INF109KC10V2,149463,ICICI Prudential Nifty Auto ETF,27.9063,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,17405.18,0.0017,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
BANK10ADD.NS,BANK10ADD,DSPAMC - BANK10ADD,ETF,Equity ETF,INF740KA1YH2,154256,DSP BSE Top 10 Banks ETF,17.3619,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,181.86,0.0012,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
BANKADD.NS,BANKADD,DSPAMC-DSPBANK,ETF,Equity ETF,INF740KA1RX3,151262,DSP Nifty Bank ETF,59.302,03-Jul-2026,AMFI_NAVAll,ISIN,1.0,70538.63,0.0012,,,Other Scheme - Other  ETFs,auto_amfi_aum_latest.csv (Import Symbol); auto_amfi_aum_latest.csv (Import ISIN),auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),,,auto_amfi_ter_tracking_latest.csv (Import Symbol); auto_amfi_ter_tracking_latest.csv (Import ISIN),0.85,Complete,2026-07-04 05:36:40
